year	sentence
2002	My dearest friends and colleagues, Drs.
2002	Billie Oakes and Margie Thomas for editing my manuscript numerous times and for their support and encouragement over the years.
2002	Beta Phi Mu for the Eugene Garfield Dissertation Fellowship.
2002	All my colleagues and friends from the Florida State University, School of Information Studies.
2002	Last, but most importantly, my special thanks to my parents, who have always believed in me.
2002	Without their love and support, I could not be here today.
2002	Reproduced with permission of the copyright owner.
2002	Further reproduction prohibited without permission.
2002	ACKNOWLEDGMENTS Greatest thanks to Almighty Allah for the health, ability, and resources that sustained me during this time, all of which were crucial to accomplishing this task.
2002	I am truly grateful, as I am ever mindful that it is only through His will that any of my goals can be attained.
2002	Heartfelt thanks go to Professor Thomas Hart for having agreed to be my major professor and for his extremely helpful and attentive suggestions, even, most impressively, when he was as far away as Singapore.
2002	Many thanks to Professor F. William Summers for having agreed to act as my major advisor while Professor Hart was overseas, and for his continued caring and thoughtful comments on the dissertation.
2002	I am grateful also to Professor Blazek and Dr. Garretson for their having consented to be on my Research Committee and for their helpful advice and assistance.
2002	I also greatly appreciated Dr. Virgil Diodato’s comments and advice, which he sent to me even when he too was traveling.
2002	My words of thanks to Roxane Fletcher for the fabulous editing job on this m anuscript.
2002	iv Reproduced with permission of the copyright owner.
2002	Further reproduction prohibited without permission.
2002	I owe all of my family members a great debt of gratitude, especially my devoted mother, for the sacrifices she and my late father made from the very beginning of my education, as well as for her ongoing prayers and patience.
2002	Most importantly, I thank my beloved wife Amel, who, despite having a great deal of her own work to do, gave me the constant love and encouragement that enabled me to persevere.
2002	My children Waleed, Mesharie, and my lovely daughter Rawan were a source of delight, and I thank them for providing quiet times for me to work, as well as for their smiles and unconditional love.
2002	Reproduced with permission of the copyright owner.
2002	Further reproduction prohibited without permission.
2002	ACKNOWLEDGEMENTS My sincere gratitude and appreciation go to:
2002	ACKNOWLEDGMENT
2002	ACKNOWLEDGMENTS Ioweagreatdealofthankstomanypeople.
2002	First,tomycommittee.
2002	Myadvisor, Dr. Kathleen Burnett, for being a good friend, a mentor, for taking on all my neurosis, and for letting me vent in oddly hysterical ways.
2002	Dean Jane Robbins for knowingly, or unknowingly, admitting an opinionated know-it-all into the school and for allowing me to pour her drinks.
2002	Dr. Gary Burnett for taking over Elfreda's role, (thank you!
2002	thank you!
2002	), for a being a true Geek and for not giving me any slack.
2002	(I say that with the utmost respect.
2002	Really.)
2002	Dr. Marcy Driscoll for braving the unknown territory o f library science.
2002	Dr. Elfreda Chatman for kindly, but brutally, saying “You can do better” when handing me back my first theory paper.
2002	Rest in peace you great big wonderful woman.
2002	I owe a great debt to Dr. Katherine McCain and Dr. Howard White at Drexel University for allowing me to sit at their feet and learn the citation analysis and for just beingencouragingandopenandhonestaboutthisstudy.
2002	Also,thankstoProfessorla Mcllwaine and Professor Vanda Broughton, at the School ofLibrary Archive and Information Studies, University College London, for letting me hang out and ask many questions.
2002	Also, Mr. Eric Coates, Mr. Jack Mills, and Mr. D.J.
2002	Foskett—it was wonderful to watch you three work.
2002	I have many friends to thank.
2002	Dr. Laurie Bonnici and future Dr. Stephanie Maatta-Smith—two ofthe terrible three.
2002	Girls, girls, girls...what have we done?
2002	Lord iv Reproduced with permission of the copyright owner.
2002	Further reproduction prohibited without permission.
2002	help this field while we are afoot.
2002	Future Dr. Bruce Smith for quietly dealing with the terrible trio.
2002	Claudia Montague, the fearless researcher and the endless supporter.
2002	Jamie Madden—MeltBanana,thankyou!
2002	AimeeReist,thetrueLibrarian,nowordswill suffice,dear.
2002	DanandLesleeforbeingthebestneighbors.
2002	Thanks to all the Goldstein Library staffwho I terrorized in one way or another over the last few years.
2002	Thanks to all my past and present students—any time I felt like packing it in I just had to go to class and you picked me right back up again.
2002	I must also acknowledge the wonderful assistance and/or support o f the following: Case Western Reserve University Archives, Dr. Jonathan Fumer, Alex Justice, Kerstin Michaels, Dr. Michele Besant, Dr. Marcella Genz, Dr. Ron Blazak, Dr. Myke Gluck, Dr. Charles Conaway, Ruth Woo, Dr. Elizabeth Logan, Kandi and David, Kathy and Brian, Paula and Matt, Scott and Lisa, and the many others I’m sure I am forgetting.
2002	P.D.B.W., H.V., and D.L.S., thank you.
2002	My enormous family—Mom, Dad, Mary, Beth (first is best, Dear), Francis, Joel, Stacy, Dodie, Marci, and Ron.
2002	The nieces and nephews: Heather (dearheart, years from now when you read this, you will understand what part you played in its creation), Michael, Allison, Shannon, Kelsey, Nicholas, Patrick, Ember, Jeremy, Emma-with-the- one-sock, and any others that will surely come along.
2002	I love you all very much.
2002	To my future husband and children—do hurry up along.
2002	To Dad, especially, what could I possibly say that would even come close to expressing anything?
2002	v Reproduced with permission of the copyright owner.
2002	Further reproduction prohibited without permission.
2002	ACKNOWLEDGEMENTS As with all major personal accomplishments, this work is the outgrowth of interaction with many individuals who have blessed my life with their love and care.
2002	Thank you to the individuals in “the back room” at Regent University for support, and the prayers around the table that held me up throughout this process.
2002	A special thanks to Susie Boothe and Patty Hughson for their patience and perseverance in filling an enormous number of interlibrary loan requests.
2002	Thanks to my 3D study group, Carol Lewis,EdSmith,DenisTocci,RonBrown,andJohnHucks.
2002	Youhavetaughtmeso muchandbeenasourceofencouragementandhopethroughoutourstudies.
2002	Iwould never have guessed that entering this program would bring me into relationships with someofthedearestMendsthatanypersoncouldeverhave.
2002	Knowingyouhasenriched mylife.
2002	Thankstomyfriendsfromhome,especiallyHeidi,Chris,Lyn,andSue,forthe comfort and unconditional love that you have given to me.
2002	Thanks to my wonderful children—to Joanna and to Nathan for his encouraging words whenever his mother wants to try something new, “Go for it, Mom” and Rachel, for brightening my life every day in everyway.
2002	Thanks to Audrey Amerski, my walking buddy and my proofreader.
2002	Avery special thanks to my dissertation committee—to Dr. A. Greg Stone, for giving me the opportunity to teach in the business program, to Dr. George W. Selig, for valuable input into this process, and to Dr. Richard W. Budd, who shared his time and wisdom, and withoutwhomIcouldnothaveaccomplishedthis.
2002	YouaremymentorandmyMend.
2002	Thank you.
2002	iii Reproduced with permission of the copyright owner.
2002	Further reproduction prohibited without permission.
2002	Acknowledgements
2002	ACKNOWLEDGEMENTS
2002	ACKNOWLEDGEMENTS
2002	Acknowledgements
2002	ACKNOWLEDGMENTS All praise is due to Allah, Lord of the Worlds: we praise Him and seek His help and forgiveness.
2002	We seek refuge in Allah from the evil of our own selves and from our evil deeds.
2002	Whomsoever Allah guides, none can lead astray, and whomsoever He sends astray, none can guide.
2002	And peace and blessings be upon our Prophet Mohammed, the Seal of the Prophets and Chief of the Messengers, and upon all his family and companions.
2002	First and foremost, I thank Allah (all praise and glory to Him) for the health, ability, and resources that have sustained me all my life.
2002	As a matter of honesty, I cannot adequately express my deep and abiding gratitude to Dean and Professor Jane B. Robbins, major advisor and chair of my dissertation, for her extreme helpfulness, attentive suggestions, and unlimited support throughout the entire process, even in her busiest moments.
2002	Heartfelt and sincere thanks go to all the other committee members—Drs.
2002	Peter Garretson, Thomas Hart, and F. William Summers for their time, effort, and guidance.
2002	I am grateful also to Dr. Donna Marie Nudd, Chair of the Communication Department at Florida State University, for her support and kind assistance in providing me with a comprehensive list of all graduate students in the Communication Department.
2002	I also iv Reproduced with permission of the copyright owner.
2002	Further reproduction prohibited without permission.
2002	would like to thank Dr. Stephen D. McDowell, the Associate Professor and Director of Graduate Studies in the Communication Department for his guidance, thoughtful suggestions, and concerns.
2002	I owe all of my family members a great debt of gratitude for their sacrifices and prayers.
2002	Most importantly, I ask Allah (all praise and glory to Him) to best reward my wife, Umm Hassan, my life companion, for her unconditional support, extreme patience, and wonderful insights.
2002	I also would like to take this opportunity to thank my beloved children, Maysoon, Mayasah, and Hassan, for their love and encouraging words.
2002	May Allah (all praise and glory to Him) protect them all and reward them Paradise.
2002	Amen.
2002	Reproduced with permission of the copyright owner.
2002	Further reproduction prohibited without permission.
2002	v
2002	ACKNOWLEDGMENTS First and foremost, I would like to thank my co-advisors, Dagobert Soergel and Gary Marchionini, for their continued support and guidance throughout this project.
2002	I am also greatly indebted to the members of my committee for their valuable feedback all through the process: Robert B. Allen, Catherine Plaisant, Ben Shneiderman, and Marilyn D. White.
2002	I am grateful for the generosity of the study participants, attorneys and law librarians in the Washington, DC area, who contributed their time and ideas to the success of this dissertation.
2002	I would like to thank T. R. Halvorson for his wonderful collection of interviews with legal reference experts (Halvorson 2001) and for enabling me to use the text of the interviews to complement my data collection.
2002	I owe special thanks to West Group for their generous support of the research through many means, and especially for providing access to their legal information service, Westlaw.
2002	I would like to thank the research staff of the Joint World Bank-International Monetary Fund Library for their input through interviews in the early phases of this work.
2002	My thanks go to faculty and students at the College of Information Studies and the Human-Computer Interaction Laboratory at the University of Maryland for providing a wonderful community in which to learn and conduct research.
2002	I am also indebted to the individuals who provided support and feedback in various forms: Richard Salter.
2002	Doug Oard, Keith Cogdill, Jinsoo Chung, Jinmook Reproduced with permission of the copyright owner.
2002	Further reproduction prohibited without permission.
2002	Kim, Ben Bederson, and Wayne Lutters.
2002	Special thanks to Harry Hochheiser and Gene Chipman for serving as observers in some of the sessions.
2002	Input from participants at three doctoral consortia was also much appreciated: ACM SIGCHI 2000, ISIC 2000, and ASIS&T 2000.
2002	This research was partially supported by a Eugene Garfield Doctoral Dissertation Fellowship, a Soros Foundation Graduate Fellowship, and numerous teaching and research assistantships and travel awards of the University of Maryland.
2002	Thanks are due to the Department of Information Systems, University of Maryland Baltimore County for their support in the final phases of the work.
2002	Finally, I am greatly indebted to my family and friends for their never-ending love, encouragement, and support without which this dissertation would not have been possible.
2002	Special thanks go to Ben Harper, Tamas Komlodi, Jdzsefne Komlodi, Lajos and Ddik<5 Ivdnyi, Jdzsef Komlddi, Angana Baruah, Laura Slaughter, P^ter and Eniko Basa, and Mr. and Mrs. Pdter Danos.
2002	Reproduced with permission of the copyright owner.
2002	Further reproduction prohibited without permission.
2002	Acknowledgments
2002	Acknowledgements
2002	ACKNOWLEDGEMENT In researching, writing, and revising this work, I have benefited from the contact and conversations with many gifted individuals.
2002	Prof. Kay E. Vandergrift, my advisor, hadtoexercisegreatpatience,buthasshowedevengreaterfaithinme.
2002	Iamever grateful to her for encouraging me to pursue research ideas freely, while helping me to sort out my research into one direction.
2002	I never knew what Prof. Tefko Saracevic would ask me every time I brought him my research ideas or drafts, but his incisive questions and suggestions always made me open-mouthed, being full of amazement.
2002	With her critical insights and superb encouragement, Prof. Lisa Covi helped me to make this “long distance” dissertation a much better work.
2002	Dr. Jane Hannigan helped me to polish my draft by giving invaluable suggestions.
2002	Dr. Farideh Tehrani helped me to think about the usability of a digital library from a librarian’s perspective.
2002	My years at SCILS were a life- transforming opportunity of personal and intellectual growth.
2002	Thus, to not only my committee members, but also to all my teachers at SCILS, my sincere thanks go.
2002	Should there be any errors in this work, however, the responsibility remains solely mine.
2002	Participantsofmyexperimentaretrulyprimarycontributorstothisresearch.
2002	I am deeply appreciative o f their generous time, good will, and feedback.
2002	I am indebted to Professors Nick Belkin and Paul Kantor for helping me to use the Information Interaction Lab and its facilities; to Jon Oliver and his Netops crew for providing technical support to set up the experiment; and to Mrs. Joan Chabrak, for helping me get through all o f the administrative “jungle” with down-to-earth emotional support over the years.
2002	Special thanks go to Dr. D. Cuomo at MI TRE, and G. Gediga and K.-C. Hamborg at Universitat Osnabruck for generously providing their research materials.
2002	iv Reproduced with permission of the copyright owner.
2002	Further reproduction prohibited without permission.
2002	Many and fervent thanks extend to Soo Young Rieh and Wonsik “Jeff’Shim for their great companionship through every twist and turn o f this process ; to Insuk Oh for her kind hospitality during the data collection period; to Namjoo Cho and Denise Agosto for their friendship; to Nahyun Kwon, who has a heart o f gold, for never failing to boost up my spirit; to Soyeon Lee, for reading an earlier draft o f this dissertation and giving me thoughtful advice; and to Jeonghwa Kim and Soonhee Pyo, for their standing with me through good and bad times.
2002	My ocean-deep gratefulness goes to my parents for always being there for me, helping me to dream and achieve, teaching me to be a better person, and for being the world’s greatest grandparents for my son.
2002	Appreciation must go to my sweet baby sister, Jinmi, and to my in-laws for their supports as well.
2002	My shining star Kenny often offered (!)
2002	me to study together when I was writing orrevisingthiswork.
2002	Ihopethat,whenhegrowsup,hewillforgivewhathismotherdid to a then 3-year-old (I read the draft to him, insisting that it was a very funny story!).
2002	Without him, however, doing this dissertation would have been meaningless to me.
2002	Last, but certainly not least, I am grateful to Choogon Lee, my husband and most cherished friend, for sharing learning and parenting experiences with me over the years.
2002	It was his love, a sense o f humor, and encouragement that helped me to overcome all the obstacles laid in my path.
2002	Reproduced with permission of the copyright owner.
2002	Further reproduction prohibited without permission.
2002	v
2002	Acknowledgements
2002	ACKNOWLEDGEMENTS Many people in different parts o f the world have assisted me in performing this research.
2002	I would like to thank my thesis committee who are nice and patient; whenever I needed them I knew that they were ready to help me.
2002	My friends (Jerry, Carol, etc.)
2002	and professors Williams and Schwepker donated their time to read and make a comment on my research.
2002	I also want to thank my Thai best friend, Tick, for her assistance in collecting the data.
2002	Reproduced with permission of the copyright owner.
2002	Further reproduction prohibited without permission.
2003	ACKNOWELDGMENTS
2003	ACKNOWLEDGMENTS The researcher wishes to especially express his gratitude to Dr. Charles Wm.
2003	Conaway.
2003	Dr. Conaway served as my advisor throughout my advanced graduate work in Information Studies at Florida State University.
2003	In addition, until his retirement in December 2002, Dr. Conaway served as chairperson of my doctoral committee up through the time of my dissertation proposal defense.
2003	His help, advice, guidance, and friendship are gratefully appreciated and are acknowledged.
2003	Special acknowledgment is also due to Dr. Marcella Genz.
2003	Dr. Genz graciously assumed the chairpersonship of my doctoral committee at the time of Dr. Conaway�s retirement.
2003	Her willingness to assume the additional responsibility is acknowledged and appreciated.
2003	Also, acknowledgment is due to doctoral committee members Dr. Keith Belton of Information Studies and Dr. Michelle Bourgeois of Communication Disorders for devoting their time and energies and providing professional advice and guidance.
2003	For their advice and technical assistance, Janie Humphries, Fred Gissoni, and Larry Skutchan at the American Printing House for the Blind are acknowledged.
2003	To my parents, who provided help and encouragement through all my years of education, goes my sincere appreciation.
2003	Other contributions are not noted individually, but are recognized and appreciated.
2003	iii
2003	ACKNOWLEDGEMENTS There are many people who made this dissertation possible and provided me with guidance and assistance.
2003	It is with my heartfelt thanks and gratitude that I acknowledge each of you.
2003	If I neglect to mention you by name, know that you are here in spirit and in my heart.
2003	First I gratefully acknowledge my committees, both former and current.
2003	You brought me through the research process, sometimes kicking and screaming.
2003	I hope I�ve done you proud.
2003	Jane Robbins, Dean and Professor of the School of Information Studies, you stepped in as my chair when it seemed that everything was falling apart.
2003	And Dr. Bill Summers who has served as friend, mentor, advisor, and sometimes even in loco parentis.
2003	Dr. Gary Burnett, who helped me regroup and rewrite, you didn�t need to fill Dr. Chatman�s shoes, you wore your own admirably.
2003	To Dr. Penny Ralston, Dean and Professor of the College of Human Sciences, who served as an outside committee member to a virtual student, and with whom I wish I had been able to work more closely.
2003	To Dr. Elisabeth Logan who started this crazy ride with me, and Dr. Michele Besant and Dr. Anne Mullis who made it through two proposal presentations.
2003	Finally to Dr. Elfreda Chatman � I have words for you lady wherever you are, but you made me think harder and dig deeper than I ever did before.
2003	iv  Here�s to the other two-thirds of the gruesome threesome � Dr. Laurie Bonnici and Dr. Shawne Miksa.
2003	Do you still want those chapters?
2003	We made it girls, despite the hoops and fire we jumped through.
2003	The next round of celebration libations is on me.
2003	For my friends who supported me through the good and the bad, and let me do the things I needed to, especially Dr. Don Latham, Dr. Kathy Burnett, Dr. Chery Dee, Dr. Ruth and Jon Woo.
2003	Thank you for the sound advice, the piss and moan sessions, the cat sitting, and other services rendered.
2003	It would be remiss if I didn�t acknowledge the literacy coordinators and tutors around the State of Florida who gave their time, wisdom, and assistance graciously and unselfishly.
2003	I wish I could name you individually, but a promise is a promise.
2003	You know who you are.
2003	It is my hope that your programs prosper and that there is continuous funding to help those who need you the most.
2003	I gratefully acknowledge the library program specialists at the State Library of Florida for their professional support and the occasional lunch meeting.
2003	Your contacts, time and advice for this project were invaluable.
2003	My thanks to the faculty at the University of South Florida School of Library and Information Science.
2003	You made it so easy to like being in Tampa and to get the dissertation completed.
2003	And finally, and most importantly, I gratefully acknowledge the love and support of my husband, Bruce Smith, my parents, Pat and Doug Maatta, and my in-laws, Emma and Paul Smith.
2003	You nagged me, supported me, and listened to my triumphs and challenges, and most importantly you believed in me.
2003	This project would never have happened if you hadn�t given me the strength and freedom to explore.
2003	v
2003	ACKNOWLEDGMENTS I want to thank Dr. Robert Neimeyer for his guidance and support.
2003	I would also like to thank my committee members, Dr. Sara Bridges, Dr. Theresa Okwumabua, and Dr. Heidi Levitt.
2003	Thanks also go to my lab mates and friends: Mollie Anderson, Laurie Burke, Jessie Van Dyke, and Maria Ippolito, who helped with the early stages of analysis.
2003	I owe a debt of gratitude to each of these people.
2003	I also want to thank James Soeffing, who kept me putting one foot in front of the other.
2003	And thank you to my family, who kept patience with me through this long process even while I lost my own.
2003	The Library of Congress, Manuscript Division has done an excellent job in making available to the public the life stories of former slaves through their website, Born in Slavery: Slave Narratives from the Federal Writer's Project, 1936-1938.
2003	Finally, though they have long since passed, thanks go to the participants of this study and all the people who contributed their stories to the Slave Narrative Collection.
2003	They left an invaluable legacy.
2003	in
2003	ACKNOWLEDGMENTS I could not have undertaken this research and writing without the support of a network of friends and colleagues, both in person and over the Internet.
2003	I am sure there are many who are unaware that a chance remark challenged an assumption I held or a joke they told helped energize me.
2003	From the circle of knitters at a local yarn store to chance encounters in coffee shops to people in small rooms throughout the city and over the Internet who offer experience, strength, and hope, I have met with unbelievable caring over the past several years.
2003	I cannot name you all, so thank you in general now.
2003	Thanks to Dr. Suzanne Damarin, who offered me an opportunity to read, think, and talk about ideas that will nourish my mind and spirit for the rest of my life.
2003	I appreciate deeply the time and energy you have spent on my behalf over the past years.
2003	I welcome the intellectual challenges you provide; you never let me be satisfied with the easy answer.
2003	You understood the frustration I felt when you and I realized that OSU's Web search could not locate the OSU Libraries' information page if one searched by "library."
2003	That observation and our discussion of it led to this research, this manuscript, and your belief in me made the process possible.
2003	iv  Thanks to Dr. Brenda Dervin.
2003	You agreed to serve on my committee at the very end of my process, before you met me or read my work, and in spite of your other obligations.
2003	I value the theories and methodology you have spent your career writing about; my work would be the poorer without your scholarship.
2003	Thanks to Dr. Richard Voithofer.
2003	You encouraged me in this process from our first meeting and offered the fruits of your experience in how to persevere with the writing of a dissertation.
2003	Your advice gave me a model for discipline that helped me finish.
2003	Thanks to Anne, Beautiful, Beth, Danya, Elizabeth Rose, Honest, Jeanie, Julie, Keziah Ruth, Miracle, Patricia, Sandra, and Terry.
2003	You each generously gave your attention, made observations, and shared some of your precious time with me.
2003	Your voices and faces, your observations and questions, reminded me that this work might be worth the doing, even when it was so cold that my fingers could not type.
2003	My best to each of you.
2003	Thanks to Dr. Linda Condron, debriefer, colleague and friend.
2003	From salmon on your grill to coffee at Stauf's, you offered a haven and a heart.
2003	You never forgot how difficult the process sometimes looks.
2003	That a dear friend also values convoluted discussions about technology and feminism is a gift beyond all expectations.
2003	Blessings.
2003	v  Thanks to Dr. Carol Damian, Judy Ridgway, Norma Bruce, and Margaret Gunthorp Bailey, who served as debriefers.
2003	You listened, gave feedback, and asked hard questions.
2003	Your attention was invaluable, as was that of Tracy Crow.
2003	Many thanks for editing the manuscript and for asking for a sweater.
2003	Thanks to the people who work for or with several organizations: ENC, The Ohio State University Libraries, and the libraries that cooperate through OhioLINK.
2003	The staff of ENC has always encouraged me to continue my research and studies.
2003	The OSU Libraries have a superb reference staff and offer invaluable services (including 24-hour access to the Engineering Library).
2003	Ohio academic organizations are generous, indeed, to participate in OhioLINK and I thank them for it.
2003	Finally, thanks to Sadie, Shadow, and Isabella.
2003	You remind me daily of priorities; there is nothing more important than fresh water, clean litter, plenty of kibbles, brushed fur, and jaw scratches.
2003	Your only interest in this is how it has grabbed my attention away from you and generated piles of paper to scatter and chase.
2003	My life would be impoverished without your presences.
2003	vi
2003	Acknowledgements
2003	ACKNOWLEDGEMENTS
2003	ACKNOWLEDGEMENTS
2003	ACKNOWLEDGEMENTS This research was fully supported by Wolfson School of Mechanical & Manufacturing Engineering of Loughborough University, Loughbourough, United Kingdom.
2003	Dr Jennifer Anne Harding supervised me, with competitive professionalism, patience and kindness.
2003	I express my gratitude for her effort directed to fill the gaps between my previous education and experience acquired mainly at "Gh.
2003	Asachi" Technical University, Iasi, Romania, and the scientific requirements at Loughborough University, United Kingdom.
2003	Thank you!
2003	I am very grateful to my families: Alexandru & Decebal Neaga, Aurora Rosca and Tedy & Ovidiu Rosca for their help, deep understanding and the acceptance to live away from home for such a long time.
2003	Many thanks to All my Friends and Colleagues from different countries and Universities, for their unconditional trust, encouragements in difficult moments ofdoubts and giving up, and for sharing o f our experiences.
2003	v
2003	Acknowledgements
2003	ACKNOWLEDGMENTS First and foremost great thanks to (Al-mighty), Allah who makes all things possible.
2003	I wish also to acknowledge all those people who lent their support, guidance, and effort toward the successful completion of this work.
2003	I would like to express my sincere thanks to Dr. John Bertot my major advisor and the chair of my dissertation committee, for his support, unlimited assistance, advice, and guidance.
2003	Special thanks are also extended to my committee members, Drs.
2003	Peter Garretson, Thomas Hart, and Darrell Burke, for their enthusiasm, guidance, and helpful suggestions throughout the process.
2003	My sincere appreciation also goes to Dean Jane Robbins for her support and guidance throughout the duration of my study.
2003	I am deeply grateful to my father and my mother whose scarifies, prayers and persistent support made it much easier to accomplish this work.
2003	I owe all of my beloved brothers and sisters a great debt of gratitude, as well, for their unlimited support and encouragement all along.
2003	Special thanks and appreciation go to my wife Rugayya, my life companion, for her unconditional support, enduring compassion, understanding, and wonderful insights.
2003	My love and thanks go to my beloved son Osama for his love, encouraging words, and the happiness and joy that he brings to my life.
2003	iii
2003	ACKNOWLEDGEMENTS Many people have contributed in diverse ways to my studies that lead to the completion of this work.
2003	First and foremost, my thanks go to my supervisor, Professor Robert Usherwood.
2003	I could not have hoped for a more supportive and enthusiastic mentor.
2003	His wisdom is only matched by an unabashed and contagious faith in the value of libraries.
2003	His advice, his guidance and his availability made an invaluable contribution to my studies.
2003	Doctor Joaquina Barrulas was also a precious advisor and her encouragement and guidance were essential especially in the first phase of my work.
2003	The stimulating and friendly environment of the Department of Information Studies was essential for my work, and I am grateful to all those that have helped me there.
2003	I would like to thank especially to some friends: Doctor Miguel Nunes and Suzana, his wife, for the many discussions we had, but especially for their friendship and support.
2003	In the Department I made a good number of friends to whom I am grateful: Mariano, Allen, Hideo, Helene, and, especially, Georgia.
2003	I would also like to thank my Portuguese colleagues in the Department Antonieta and Armando.
2003	In Portugal, many friends, colleagues and relatives have provided invaluable support and encouragement for my studies.
2003	I want to thank in particular Ana Paula Gordo, Carlos Matias, Fernanda Eunice, Gabriela Lopes da Silva, Jose Oliveira, Lourenco Calisto Aires, Maria Jose Moura and Paulo Curto.
2003	I also want to thank Rosa, my companion of many years, without whose support and stimulus my study would not even have started.
2003	This research was financed by: FCT Fundacao para a Ciencia e a Tecnologia ,'fl',,~::,Tn~;u;~A,1;:;"1':':\:I,',""'>.
2003	I",r_;,I
2004	ACKNOWLEDGMENTS My thanks and gratitude are extended to the following persons for their support and help in this journey into the life of the mind that began on the first day of my first doctoral seminar at the Florida State University in the fall of 1997: To my major professor Jane B. Robbins, whose encouragement, provocative questioning, and gentle nudging guided me from doctoral student to candidate to newly minted Ph.D. To Kathleen Burnett, Eliza Dresang, and Patricia Yancey Martin� the other members of my dissertation committee�who provided guidance at the various stages of the dissertation research process: Kathy, for technical assistance in the construction and implementation of web-based data collection instruments; Pat, for guidance in the literature of gender, work, and organizations; Eliza, for fitting into her busy schedule one more doctoral candidate whose research interests meshed with her own; and to Elfreda Chatman, who left us all too soon.
2004	To mentors outside the FSU community without whose encouragement this project might not have been finished: Joanne Marshall, University of North Carolina at Chapel Hill School of Information and Library Science, whose research in the practice of special librarianship has served as an exemplar for my work; Roberta Brody, Queens College Graduate School of Library and Information Studies, whose insights into the challenges facing corporate and business librarians broadened my perspective; and Joan Alway, whose graduate seminar in feminist theory at the University of Miami provided me with a deeper understanding of gender and feminist epistemologies.
2004	iv  To the School of Information Studies Web Team, led by Anthony Chow, for their assistance in converting my data collection instruments into interactive web- based formats, and to the Office of Graduate Studies for a Doctoral Research Grant in spring 2001 for funding this conversion work.
2004	To friends and colleagues at FSU who provided encouragement, understanding, and laughter along the way: especially Marie Landry, Laurie Bonnici, Ruth Sawyer Woo, Cynthia Barrancotto, and (posthumously) Barbara Clark.
2004	To three successive University Librarians at the University of Miami who supported my desire to engage in doctoral work while continuing my employment as a member of the Otto G. Richter Library faculty: Frank Rodgers, who granted me a sabbatical leave in 1997-1998 to pursue my studies at FSU; Don Bosseau, for granting me a research leave in the summer of 2001 and a nine-month contract in 2002-2003 to conduct the research and to write; and Bill Walker, my current boss, for his encouragement and support as I completed the writing.
2004	To Hope Tillman, friend and collaborator in our study of special librarians� use of the Internet; and Trudy Katz and Judith Siess, who took time out of their busy special-librarian schedules to critique the first drafts of my research interview guide and work history questionnaire�your comments and contributions have been invaluable.
2004	To my family�my husband Bob to whom this work is dedicated, my daughter Katy, and my son Adrian (and his new wife Analia)�without whose love, encouragement and understanding this quest could not have been realized.
2004	Finally, this research would not have been possible were it not for the 26 women who shared their career stories and experiences with me.
2004	I am grateful for your willingness to share your thoughts and feelings about your work, your profession, and your life.
2004	In so doing you have not only contributed to the LIS knowledge base but have also contributed to my own understanding of my career as a librarian-educated information professional.
2004	Your participation in this research project has enriched my life, and I thank you.
2004	v
2004	ACKNOWLEDGEMENTS
2004	ACKNOWLEDGEMENTS I would like to thank the members of my committee, Dr. Brian O�Conner, Dr. Florence Mason, Dr. Michael Kozak and Dr. Elizabeth Fuga, for their help and support.
2004	In particular, I would like to take this opportunity to express my gratitude to Dr. Brian O�Connor for his time and efforts in chairing the committee and for offering his expertise and guidance.
2004	I would also like to express my sincerest appreciation to Dr. Florence Mason for mentoring the project and for giving so freely of her knowledge and encouragement.
2004	I would also like to thank my family and friends for their understanding, support and patience.
2004	I would like to particularly recognize to Fred Beecher.
2004	Without his confidence and understanding this project would not have been possible.
2004	This work is dedicated to the memory of Anna Boudreaux, Veltin J. Boudreaux, Sr. and Louis H. Boudreaux, who each in his or her own way taught me to reach for the seemingly impossible, and Walter M. Beecher who taught me to never give up.
2004	iii
2004	ACKNOWLEDGMENTS The completion of this dissertation would not have been possible without the constant support and understanding of my family, friends, and the LRC staff at the Osceola Campus of Valencia Community College.
2004	I would particularly like to thank Dr. Mary Ann Lynn for her patience and understanding throughout the developmental stages of this dissertation.
2004	Her well- deserved retirement prevented her from seeing this research project to completion.
2004	My hope is that this dissertation will live up to her expectations.
2004	I would like to thank Dr. Doug Magann who assumed the role as my advisor when Dr. Lynn retired.
2004	His high expectations inspired me to do my best to write a dissertation that will be useful to library administrators who are seeking ways to create more learning-centered libraries.
2004	I would like to thank the other members of my committee, Drs.
2004	Donna Baumbach, William Bozeman, and B.
2004	Grant Hayes for their insight and patience.
2004	I appreciate the support and guidance they have provided throughout this process.
2004	A special thank you to Dr. Silvia Zapico, the Provost of the Osceola Campus at Valencia Community College, who always had time to listen as I struggled with the challenges of researching and writing this dissertation.
2004	vii  A special thank you to Dr. Sanford C. Shugart, President of Valencia Community College, for being an ardent advocate of learning-centered libraries and providing support and encouragement to my efforts in researching and writing this dissertation.
2004	These acknowledgements would not be complete without thanking the person who encouraged me to begin this personal quest for knowledge�Dr.
2004	Douglas Cross, Dean of Libraries at Walters State Community College in Morristown, Tennessee, and my former boss.
2004	His prophetic words still echo in my ears��You can do it, Kid!� A special thank you to Cathleen Armstead who guided me through the process of analyzing all those hours of interview transcripts to look for patterns in order to tell the stories of the libraries in the Vanguard Learning Colleges.
2004	A special thank you to the members of the Panel of Experts who guided me through the development of the interview questions.
